"name","country_code","reg_name","area_name","sub_saharan_africa","pop_lt_90k_2024"
"Burundi",108,"Eastern Africa","Africa",TRUE,FALSE
"Comoros",174,"Eastern Africa","Africa",TRUE,FALSE
"Djibouti",262,"Eastern Africa","Africa",TRUE,FALSE
"Eritrea",232,"Eastern Africa","Africa",TRUE,FALSE
"Ethiopia",231,"Eastern Africa","Africa",TRUE,FALSE
"Kenya",404,"Eastern Africa","Africa",TRUE,FALSE
"Madagascar",450,"Eastern Africa","Africa",TRUE,FALSE
"Malawi",454,"Eastern Africa","Africa",TRUE,FALSE
"Mauritius",480,"Eastern Africa","Africa",TRUE,FALSE
"Mayotte",175,"Eastern Africa","Africa",TRUE,FALSE
"Mozambique",508,"Eastern Africa","Africa",TRUE,FALSE
"Reunion",638,"Eastern Africa","Africa",TRUE,FALSE
"Rwanda",646,"Eastern Africa","Africa",TRUE,FALSE
"Seychelles",690,"Eastern Africa","Africa",TRUE,FALSE
"Somalia",706,"Eastern Africa","Africa",TRUE,FALSE
"South Sudan",728,"Eastern Africa","Africa",TRUE,FALSE
"Uganda",800,"Eastern Africa","Africa",TRUE,FALSE
"United Republic of Tanzania",834,"Eastern Africa","Africa",TRUE,FALSE
"Zambia",894,"Eastern Africa","Africa",TRUE,FALSE
"Zimbabwe",716,"Eastern Africa","Africa",TRUE,FALSE
"Angola",24,"Middle Africa","Africa",TRUE,FALSE
"Cameroon",120,"Middle Africa","Africa",TRUE,FALSE
"Central African Republic",140,"Middle Africa","Africa",TRUE,FALSE
"Chad",148,"Middle Africa","Africa",TRUE,FALSE
"Congo",178,"Middle Africa","Africa",TRUE,FALSE
"Democratic Republic of the Congo",180,"Middle Africa","Africa",TRUE,FALSE
"Equatorial Guinea",226,"Middle Africa","Africa",TRUE,FALSE
"Gabon",266,"Middle Africa","Africa",TRUE,FALSE
"Sao Tome and Principe",678,"Middle Africa","Africa",TRUE,FALSE
"Algeria",12,"Northern Africa","Africa",FALSE,FALSE
"Egypt",818,"Northern Africa","Africa",FALSE,FALSE
"Libya",434,"Northern Africa","Africa",FALSE,FALSE
"Morocco",504,"Northern Africa","Africa",FALSE,FALSE
"Sudan",729,"Northern Africa","Africa",FALSE,FALSE
"Tunisia",788,"Northern Africa","Africa",FALSE,FALSE
"Western Sahara",732,"Northern Africa","Africa",FALSE,FALSE
"Botswana",72,"Southern Africa","Africa",TRUE,FALSE
"Eswatini",748,"Southern Africa","Africa",TRUE,FALSE
"Lesotho",426,"Southern Africa","Africa",TRUE,FALSE
"Namibia",516,"Southern Africa","Africa",TRUE,FALSE
"South Africa",710,"Southern Africa","Africa",TRUE,FALSE
"Benin",204,"Western Africa","Africa",TRUE,FALSE
"Burkina Faso",854,"Western Africa","Africa",TRUE,FALSE
"Cabo Verde",132,"Western Africa","Africa",TRUE,FALSE
"Cote d'Ivoire",384,"Western Africa","Africa",TRUE,FALSE
"Gambia",270,"Western Africa","Africa",TRUE,FALSE
"Ghana",288,"Western Africa","Africa",TRUE,FALSE
"Guinea",324,"Western Africa","Africa",TRUE,FALSE
"Guinea-Bissau",624,"Western Africa","Africa",TRUE,FALSE
"Liberia",430,"Western Africa","Africa",TRUE,FALSE
"Mali",466,"Western Africa","Africa",TRUE,FALSE
"Mauritania",478,"Western Africa","Africa",TRUE,FALSE
"Niger",562,"Western Africa","Africa",TRUE,FALSE
"Nigeria",566,"Western Africa","Africa",TRUE,FALSE
"Saint Helena",654,"Western Africa","Africa",TRUE,TRUE
"Senegal",686,"Western Africa","Africa",TRUE,FALSE
"Sierra Leone",694,"Western Africa","Africa",TRUE,FALSE
"Togo",768,"Western Africa","Africa",TRUE,FALSE
"Kazakhstan",398,"Central Asia","Asia",FALSE,FALSE
